Date,Open,High,Low,Close,Adj Close,Volume,Name,Company Name,date,cash_dividend,canonical_factor,vendor_adjustment_factor
2020-03-12,20.36000061035156,20.690000534057617,18.799999237060547,19.440000534057617,18.49675941467285,5150500.0,HFC,HollyFrontier,2020-03-12,0.0,1.0517283225681746,0.9514793676197555
2020-03-13,21.290000915527344,22.75,19.010000228881836,22.65999984741211,21.560522079467773,5499500.0,HFC,HollyFrontier,2020-03-13,0.0,1.0517283225681746,0.9514793567807591
2020-03-16,19.290000915527344,24.65999984741211,19.09000015258789,21.209999084472656,20.180877685546875,5837600.0,HFC,HollyFrontier,2020-03-16,0.0,1.0517283225681746,0.9514794227558842
2020-03-17,21.43000030517578,22.239999771118164,20.079999923706055,21.450000762939453,20.40923500061035,5297200.0,HFC,HollyFrontier,2020-03-17,0.0,1.0517283225681746,0.9514794533654609
2020-03-18,19.88999938964844,22.850000381469727,19.170000076293945,22.260000228881836,21.179931640625,4797800.0,HFC,HollyFrontier,2020-03-18,0.0,1.0517283225681746,0.9514793990498045
2020-03-19,22.510000228881836,23.81999969482422,20.149999618530273,20.979999542236328,19.962038040161133,4162100.0,HFC,HollyFrontier,2020-03-19,0.0,1.0517283225681746,0.9514794316355506
2020-03-20,21.489999771118164,23.079999923706055,20.329999923706055,22.280000686645508,21.198963165283203,4997300.0,HFC,HollyFrontier,2020-03-20,0.0,1.0517283225681746,0.951479466425229
2020-03-23,21.88999938964844,22.299999237060547,18.649999618530273,18.65999984741211,17.754606246948242,3806300.0,HFC,HollyFrontier,2020-03-23,0.0,1.0517283225681746,0.9514794422364675
2020-03-24,19.88999938964844,20.270000457763672,18.479999542236328,19.309999465942383,18.373065948486328,3492600.0,HFC,HollyFrontier,2020-03-24,0.0,1.0517283225681746,0.9514793607784117
2020-03-25,19.8700008392334,22.5,19.0,21.559999465942383,20.51389503479004,3126300.0,HFC,HollyFrontier,2020-03-25,0.0,1.0517283225681746,0.9514793851082956
2020-03-26,22.86000061035156,25.6200008392334,22.18000030517578,23.950000762939453,22.787931442260746,4034700.0,HFC,HollyFrontier,2020-03-26,0.0,1.0517283225681746,0.9514793618513404
2020-03-27,22.969999313354492,25.100000381469727,22.020000457763672,24.25,23.07337760925293,3784200.0,HFC,HollyFrontier,2020-03-27,0.0,1.0517283225681746,0.9514794890413579
2020-03-30,23.520000457763672,26.670000076293945,23.43000030517578,26.020000457763672,24.75749397277832,3557000.0,HFC,HollyFrontier,2020-03-30,0.0,1.0517283225681746,0.9514793826758503
2020-03-31,26.760000228881836,26.989999771118164,24.239999771118164,24.510000228881836,23.32076072692871,2996800.0,HFC,HollyFrontier,2020-03-31,0.0,1.0517283225681746,0.9514794169380806
